OTU,Domain,Phylum,Class,Order,Family,Genus,Species
822b1bbfc40969947a25b9da757439a5,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium,uncultured_bacterium
8bbdda97c4e6b7d9689cc083d4bce7b4,Bacteria,Firmicutes,Thermoanaerobacteria,Thermoanaerobacterales,Family_III,Thermoanaerobacterium,
a37f4ee5ae6e3b6fec13b502e36c5dde,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Edaphobaculum,
d4acd758b69d325d87cee68ec99f3b31,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas,
ae3e0640d29d6154df2d61657b6019d0,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,uncultured,
50fb93dad525b440dc193bc631872eba,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,
14ff660452637cf706f1a97b7c9d2c57,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,
ca972e5dde6f7357c65afc70db7e1d7f,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,,
e43092d03755ab8ff27659de03f5db3d,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,
d01b0f62a43bb98be3e284a4785e4a53,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,uncultured_bacterium
3e9dbcc280c75eb714fb91366c213bfb,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,
6add585ceb4b4d22dc542a521200cdf1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,
c2af971104ecfede6562d60bd5ddd76e,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,uncultured_bacterium
20b3df08cd5fac2be26a2928155bab69,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,,
738de46d34b5854bc8b3e72250b5c445,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Fimbriiglobus,
28f2f0ac162f643b090129767d833708,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aureimonas,
